recipe_name,recipe_link,recipe_type
How to make the most of root vegetables,https://realfood.tesco.com/curatedlist/how-to-make-the-most-of-root-vegetables.html,Tips and trends
Top 10 BBQ recipes for kids,https://realfood.tesco.com/gallery/top-10-bbq-recipes-for-kids.html,Top 10
How to make arancini,https://realfood.tesco.com/step-by-step/how-to-make-arancini.html,Step-by-step
5 easy family dinners for £25 – July week 3,https://realfood.tesco.com/curatedlist/5-easy-family-dinners-for-25-july-week-3.html,Tips and trends
"A new take on pizza, three ways",https://realfood.tesco.com/curatedlist/a-new-take-on-pizza-three-ways.html,Tips and trends
Amazing ways to use baguettes,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-baguettes.html,Tips and trends
10 best leftover salmon and smoked salmon recipes,https://realfood.tesco.com/gallery/10-best-leftover-salmon-and-smoked-salmon-recipes.html,Top 10
Macaroni cheese recipes with a twist,https://realfood.tesco.com/curatedlist/macaroni-cheese-recipes-with-a-twist.html,Tips and trends
3 ways with mini eggs,https://realfood.tesco.com/curatedlist/3-ways-with-mini-eggs.html,Tips and trends
Nine ways to make the most of cherry tomatoes,https://realfood.tesco.com/curatedlist/nine-ways-to-make-the-most-of-cherry-tomatoes.html,Tips and trends
10 crowd-pleasing chicken breast recipes,https://realfood.tesco.com/gallery/10-crowd-pleasing-chicken-breast-recipes.html,Top 10
Father's Day feasts,https://realfood.tesco.com/gallery/fathers-day-feasts.html,Top 10
How to make mini 'pumpkin' pizzas,https://realfood.tesco.com/step-by-step/how-to-make-mini-pumpkin-pizzas.html,Step-by-step
Nine of the best flavour-boosting store cupboard ingredients,https://realfood.tesco.com/curatedlist/nine-of-the-best-flavour-boosting-store-cupboard-ingredients.html,Tips and trends
3 chocolate edible gift recipes for Christmas,https://realfood.tesco.com/curatedlist/3-chocolate-edible-gifts-for-christmas.html,Tips and trends
Seven warming spices to try this autumn,https://realfood.tesco.com/curatedlist/seven-warming-spices-to-try-this-autumn.html,Tips and trends
10 healthy dessert recipes,https://realfood.tesco.com/gallery/10-healthy-dessert-recipes.html,Top 10
10 best gingerbread recipes,https://realfood.tesco.com/gallery/10-best-gingerbread-recipes.html,Top 10
How to make a plaited wholemeal spelt loaf,https://realfood.tesco.com/step-by-step/how-to-make-a-plaited-wholemeal-spelt-loaf.html,Step-by-step
Thirteen ways to use up leftover cauliflower,https://realfood.tesco.com/curatedlist/thirteen-ways-to-use-up-leftover-cauliflower.html,Tips and trends
Amazing ways to use sweetcorn,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-sweetcorn.html,Tips and trends
Flavoured butters to make your food taste amazing,https://realfood.tesco.com/curatedlist/flavoured-butters-to-make-your-food-taste-amazing.html,Tips and trends
How to make Vietnamese chicken pho,https://realfood.tesco.com/step-by-step/how-to-make-vietnamese-chicken-pho.html,Step-by-step
Amazing ways to use peas,https://realfood.tesco.com/curatedlist/amazing-ways-to-use-peas.html,Tips and trends
What's in season in January,https://realfood.tesco.com/whats-in-season/january.html,Tips and trends
Best summer breakfasts,https://realfood.tesco.com/gallery/best-summer-breakfasts.html,Top 10
Top 10 kale recipes,https://realfood.tesco.com/gallery/top-10-kale-recipes.html,Top 10
Eight avocado ideas that you have to try,https://realfood.tesco.com/curatedlist/eight-avocado-ideas-that-you-have-to-try.html,Tips and trends
How to make a pork pie,https://realfood.tesco.com/step-by-step/how-to-make-a-pork-pie.html,Step-by-step
How to make jam roly-poly,https://realfood.tesco.com/step-by-step/how-to-make-jam-roly-poly.html,Step-by-step
10 creative chocolate recipes,https://realfood.tesco.com/gallery/10-creative-chocolate-recipes.html,Top 10
10 breakfasts to help you rejuvenate,https://realfood.tesco.com/gallery/10-breakfasts-to-help-you-rejuvenate.html,Top 10
Seven festive ideas for your Tesco Finest fizz,https://realfood.tesco.com/curatedlist/seven-festive-twists-for-your-finest-fizz.html,Tips and trends
3-ingredient jerk salmon kebabs,https://realfood.tesco.com/step-by-step/3-ingredient-jerk-salmon-kebabs.html,Step-by-step
How to make piri-piri chicken,https://realfood.tesco.com/step-by-step/how-to-make-piri-piri-chicken.html,Step-by-step
How to make shrunken apple punch,https://realfood.tesco.com/step-by-step/how-to-make-shrunken-apple-punch.html,Step-by-step
Mince pie recipes to make this Christmas,https://realfood.tesco.com/curatedlist/mince-pie-recipes-to-make-this-christmas.html,Tips and trends
10 best tart recipes,https://realfood.tesco.com/gallery/10-best-tart-recipes.html,Top 10
How to make pork dumplings,https://realfood.tesco.com/step-by-step/how-to-make-pork-dumplings.html,Step-by-step
10 easy potato salad recipes,https://realfood.tesco.com/gallery/10-easy-potato-salad-recipes.html,Top 10
